,doc_id,doc_title,book_link,generic_authors,coventry_authors,abstract,published_on,keywords
book_10,book_10,Corporate hedging and the cost of equity capital,https://pureportal.coventry.ac.uk/en/publications/corporate-hedging-and-the-cost-of-equity-capital,"['Hany Ahmed', ' Yilmaz Guney']","{'Hany Ahmed': 'https://pureportal.coventry.ac.uk/en/persons/hany-ahmed', 'Yilmaz Guney': 'https://pureportal.coventry.ac.uk/en/persons/yilmaz-guney'}","Using a large panel of UK public firms, we examine the relationship between the financial risk hedging and the cost of equity capital. We hypothesize that firms utilizing financial derivative instruments reduce the stock return volatility which is priced in investors’ expectations. While financial risk hedging serves as a vehicle for firms to alleviate cash flows volatility, it also leads to economic benefits to the firm value in case of the presence of increasing asymmetric information. In addition, we hypothesize and test whether the nature of relation between financial risk hedging and cost of equity capital varies and is more negative or more ambiguous with economic shocks. Our results show that engaging in financial risk hedging enables firms to have a lower cost of capital. Consistent with the extant literature, we control for potential endogeneity problems and sample selection bias using instrumental variables and treatment effects approaches. Thus, our results are robust to a battery of sensitivity checks, including the use of multiple estimation methods and alternative proxies of cost of equity measures. Overall, our findings suggest that the value of financial hedging decisions increases during economic shocks, and if financial constraints become more severe and if cash flows volatility increases.",2022,"['Financial risk hedging', 'stock volatility', 'information asymmetry', 'cost of equity capital', 'UK firms']"
book_11,book_11,Corporate Social Responsibility & Firm Efficiency: Evidence from Endogenous Cost Inefficiency Stochastic Frontier Analysis,https://pureportal.coventry.ac.uk/en/publications/corporate-social-responsibility-amp-firm-efficiency-evidence-from,"['T. Van Binh', ' Abay Mulatu', ' Boying Xu']","{'Abay Mulatu': 'https://pureportal.coventry.ac.uk/en/persons/abay-mulatu', 'Boying Xu': 'https://pureportal.coventry.ac.uk/en/persons/boying-xu'}","This paper investigates the relationship between firms’ performance in corporate social responsibility (CSR) and cost efficiency. We use a newly developed panel data model of stochastic frontier analysis that endogenizes cost efficiency. The dataset consists of 1,673 firms from ten provinces in Vietnam over three years: 2009, 2011 and 2013. Our results suggest that CSR can enhance cost efficiency of firms. This positive effect of CSR on efficiency can be masked if cost efficiency is treatedas exogenous or endogeneity is not handled appropriately. The upshot is that our results challenge the widely held view of the existence of a trade-off between CSR and firm efficiency.",1 May 2022,"['Stochastic frontier models', 'CSR', 'efficiency', 'Vietnamese  enterprises']"
book_12,book_12,Corporate Social Responsibility and Financial Performance of Product and Service-Based Firms Listed on London Stock Exchange,https://pureportal.coventry.ac.uk/en/publications/corporate-social-responsibility-and-financial-performance-of-prod,"['Ibrahim Elmghaamez', ' Jesuleke Olarewaju']",{'Ibrahim Elmghaamez': 'https://pureportal.coventry.ac.uk/en/persons/ibrahim-elmghaamez'},"This paper examines the impact of corporate social responsibility (CSR) on the financial performance of firms listed on the London stock exchange (LSE). Using data for 50 firms spanning 2008-2017, our study reports that the environmental performance has positively influenced the stock price of both the product and service-based firms listed on LSE. Similarly, it enhanced the return on capital for product-based firms while reducing them for service-based firms. In contrast, social activities have a significant negative impact on the stock price of the product and service-based listed firms. Likewise, social performance has a significant negative impact on the return on capital of service-based firms listed on LSE. However, we find an insignificant relationship between governance disclosure and the stock price and the return on capital for product and service-based firms. This study has implications for policymakers of stock markets to issue rigid regulations to enforce all listed firms to disclose their environmental activities to stakeholders. ",1 Apr 2022,"['Stock price', 'return on capital', 'corporate social responsibility', 'environmental disclosure', 'social disclosure', 'governance disclosure']"
book_13,book_13,Determinants of Informal Entrepreneurship in Africa,https://pureportal.coventry.ac.uk/en/publications/determinants-of-informal-entrepreneurship-in-africa,"['Amanze Ejiogu', ' Obiora Okechukwu', ' Chibuzo Ejiogu', ' Andrews Owusu', ' Ogechi Adeola']",{},"This study investigates the determinants of informal entrepreneurship in Africa. Using a cross-section of 21,954 firms from 47 African countries, the study estimates several multivariate models to examine the factors that are associated with the decision of firms to register at the start of their operation and the length of time to remain unregistered. The findings show that entrepreneurship in the informal sector is complex and context-bound as contextual factors unique to Africa, such as, corruption, political instability, crime rate, infrastructure (electricity and transportation), access to land and finance, influence the entrepreneur’s decision to register their firm at the start of its operation. The length of time firms remain unregistered is shown to be positively correlated to access to finance and infrastructural availability and negatively related to crime and political instability. These results vary based on the size of the business with larger businesses being impacted less by these variables.",2022,['No keywords']
book_14,book_14,"Diffusion theory, transnational antecedents and International Standards on Auditing adoption around the world",https://pureportal.coventry.ac.uk/en/publications/diffusion-theory-transnational-antecedents-and-international-stan,"['Ibrahim Elmghaamez', ' Mohamed Elmagrhi']",{'Ibrahim Elmghaamez': 'https://pureportal.coventry.ac.uk/en/persons/ibrahim-elmghaamez'},"This paper investigates the impact of four key transnational factors (i.e., cultural, educational, legal and political factors) on the diffusion and early adoption of International Standards on Auditing (ISAs). Using data for 162 countries over 1995–2014 (i.e., 3240 observations) and drawing on distinctive insights from diffusion theory, we found that common law countries tend to adopt ISAs faster than civil law countries. Our findings also show that vigorous legal enforcement and shareholder protection regimes promote the early adoption of ISAs, whereas robust judicial efficiency systems constrain the early adoption of ISAs. In addition, our results show that higher literacy rates and educational attainment simulate the earlier diffusion of ISAs. We also find that higher levels of individualism and uncertainty avoidance, but low levels of power distance cultural values, boost the early adoption of ISAs. Finally, our results report that countries with strong political stability and control of corruption tend to adopt ISAs faster than those with solid government effectiveness.",Apr 2022,"['Auditing Standards', 'Regulation', 'Auditing History', 'Diffusion Theory', 'Political Factors', 'Educational Factors', 'Cultural Dimensions', 'Legal Factors']"
book_15,book_15,Dissecting the effect of family business exposure on entrepreneurial implementation intention,https://pureportal.coventry.ac.uk/en/publications/dissecting-the-effect-of-family-business-exposure-on-entrepreneur,"['Adah-Kole Emmanuel Onjewu', ' Mohamed Yacine Haddoud', ' Uchenna Tony-Okeke', ' Dongmei Cao', ' Witold Nowiński']",{'Uchenna Tony-Okeke': 'https://pureportal.coventry.ac.uk/en/persons/uchenna-tony-okeke'},"Purpose - Scholars have typically examined family business exposure as an aggregate variable. However, it is probable that this trend oversimplifies the complexity of family exposure and its nuanced influence on entrepreneurial behaviour. Thus, to extend the theoretical boundary, this inquiry investigates distinct dimensions of family exposure in Nigeria while drawing on the theory of planned behaviour.Design/methodology/approach - Data were collected from five public universities in Nigeria. A sample of 1,314 respondents was analysed using a partial least squares structural equation modelling approach to determine the influence of alternate family business exposures.Findings - The results show that entrepreneurial exposure in the forms of parent, family member and work involvement have salient and distinctive influences on implementation intention to the extent that entrepreneurial self-efficacy, attitudes and subjective norms are uniquely impacted.Originality/value - This study offers novel insights on the predictors of entrepreneurial implementation intention through the distinctive effects of (1) family member exposure, (2) parent exposure and (3) work involvement exposure among students in the family firm context.",6 May 2022,"['Entrepreneurship', 'family business background', 'Theory of planned behaviour', 'Implementation intention', 'Nigeria']"
book_16,book_16,Does Family ownership matter in dividend payout decision? Evidence from a family-firm dominated country,https://pureportal.coventry.ac.uk/en/publications/does-family-ownership-matter-in-dividend-payout-decision-evidence,"['Muhammad Shahin Miah', ' Mohammad Rakib Uddin Bhuiyan']",{},"We examine the association between ownership structure and dividend payout policy in a family firms dominated economy. More specifically, we test whether family firms pay higher dividend compared to counter non-family firms in Bangladesh. We argue that family firms are more likely to pay higher dividend to display lower agency problems between controlling family and minority shareholders. Using 993 firm-year observations from 2011-2019, we find that, consistent with our arguments, family firms distribute higher dividend compared to non-family firms to mitigate expropriation concern of non-controlling shareholders. This study contributes to family business literature and provides policy implications in the sense that regulators understand the importance of ownership structure and how it affects firms’ dividend payout policy that serves shareholders’ interests.",12 Apr 2022,['No keywords']
book_17,book_17,Do Female Board Members Influence Corporate Social Responsibility Performance?,https://pureportal.coventry.ac.uk/en/publications/do-female-board-members-influence-corporate-social-responsibility,"['Isaiah Oino', ' Jonathan Liu']",{'Isaiah Oino': 'https://pureportal.coventry.ac.uk/en/persons/isaiah-oino'},"Caring for the environment has become everyone’s responsibility because of our significant negative impact. Considering this, companies are spending a substantial amount on corporate social responsibility (CSR) activities not only as part of corporate citizenship but also to enhance corporate image. Using a fixed-effect model on 2,260 companies’ annual data from 2012 to 2017, we analyze whether female board members influence CSR performance. The results indicate that the proportion of female board directors (PFBD) in Chinese firms is relatively small compared with the male. In other words, the boards members are predominantly male. The fixed effects model indicates that both the number and proportion of female directors are significant in influencing CSR performance. Surprisingly, we note that the average age of female board directors has a significant and negative impact on CSR performance. The results also indicate that the education level of the female director does play a significant role in CSR performance. This demonstrates that firms need to recruit educated board directors and with a right mix of age.",Jul 2022,"['Corporate', 'social', 'responsibility', 'performance', 'female']"
book_18,book_18,Do Integrated Financial and Extra-Financial Narrative Disclosures in the Management Commentary Affect Firm Valuation? International Evidence,https://pureportal.coventry.ac.uk/en/publications/do-integrated-financial-and-extra-financial-narrative-disclosures,"['Muhammad Jahangir Ali', ' Sudipta Bose', ' Muhammad Shahin Miah']",{},"We examine the association of integrated financial and extra-financial narrative disclosures in the management commentary section of corporate annual reports with firm valuation, as well as the moderating role of internal and external governance mechanisms in this association. Using 31,327 firm-year observations across 63 countries from 2003–2019, we find that integrated financial and extra-financial narrative disclosures in the management commentary are positively associated with firm valuation. This relationship is more pronounced for firms with better internal governance (corporate governance) and external governance (institutional investors’ ownership and analysts’ coverage) mechanisms. The study findings contribute to the debate on the relative costs and benefits of providing integrated financial and extra-financial narrative disclosures in the management commentary and have important implications for regulators, policy makers, investors, financial analysts, and company management throughout the world.",Feb 2022,['No keywords']
book_19,book_19,Do non-communicable diseases influence sustainable development in Sub-Saharan Africa? A panel autoregressive distributive lag model approach,https://pureportal.coventry.ac.uk/en/publications/do-non-communicable-diseases-influence-sustainable-development-in,"['Judith Kabajulizi', ' Francis Awuku Darko']","{'Judith Kabajulizi': 'https://pureportal.coventry.ac.uk/en/persons/judith-kabajulizi', 'Francis Awuku Darko': 'https://pureportal.coventry.ac.uk/en/persons/francis-darko'}","The burden of non-communicable diseases (NCDs) in Sub-Saharan Africa has been on the surge during the last two decades. This study examines the relationship between NCDs, measured by disability adjusted life years (DALYs), and sustainable development in Sub-Saharan African (SSA) countries. We adopt a panel Autoregressive Distributed Lag model to evaluate the association between NCDs and sustainability of development, alternately measured by adjusted net savings and gross domestic savings, in 24 SSA countries, from 1990 to 2017. The results show that NCDs adversely affect sustainable development in the long run. The findings demonstrate an urgent need to mitigate the rapidly rising burden of NCDs. We argue that reducing the current trend of NCDs in the sub-region is necessary for countries to be on a sustainable development trajectory.",Mar 2022,"['Non-communicable diseases,', 'disability-adjusted life years,', 'sustainable development', 'adjusted net savings', 'panel ARDL', 'Sub-Saharan Africa']"
book_20,book_20,Editorial: New developments in corporate governance research,https://pureportal.coventry.ac.uk/en/publications/editorial-new-developments-in-corporate-governance-research,['Loai Alsaid'],{'Loai Alsaid': 'https://pureportal.coventry.ac.uk/en/persons/loai-alsaid'},,21 Jun 2022,"['Corporate Governance', 'New Developments']"
book_21,book_21,Evolution of research in finance over the last two decades – A topographical view,https://pureportal.coventry.ac.uk/en/publications/evolution-of-research-in-finance-over-the-last-two-decades-a-topo,"['Yasser Alhenawi', ' M. Kabir Hassan', ' Rashedul Hasan']",{'Rashedul Hasan': 'https://pureportal.coventry.ac.uk/en/persons/rashedul-hasan'},"A standard literature review focuses on the historical development of a particular topic. In contrast, the novel approach introduced in this study constructs a topographical map demarcating the relative importance, dispersion, and interrelationship among many finance topics. The final product is a bird’s eye view of the whole literature illustrating historical trends, concentrations, and territories. We apply qualitative analysis, purposive sampling, and syntactic analysis to 34,261 articles published in 52 journals over the past two decades. First, we analyze the proliferation and historical development of topics. We find that a few topics (e.g., insurance) are losing ground to newer ones (e.g., blockchain and digital currency). However, several topics seem to occupy a stable, sizeable portion of finance literature (e.g., investment strategies and portfolio management). Next, we analyze the relationship between topics and journals and report strong tendencies that are not always confined by the traditional scope of journals. For instance, papers addressing investment strategy and portfolio management issues seem to appear in numerous journals; while special topics such as blockchain, digital currencies, dividends, and real estate can only be found in a limited number of journals. We also report strong interdependence among topics. More than a third of the papers screened in this study discuss two topics or more. We identify a list of topics that are likely to be investigated jointly. Overall, our work demonstrates the historical evolution of the entire finance literature; and identifies fertile areas for future research.",Jan 2022,"['Finance', 'Literature review', 'Purposive sampling', 'Qualitative analysis', 'Topographical map']"
book_22,book_22,Financial contagion effects of major crises in African stock markets,https://pureportal.coventry.ac.uk/en/publications/financial-contagion-effects-of-major-crises-in-african-stock-mark,"['Jaliyyah Bello', ' Jiaqi Guo', ' Mohammad Khaleq Newaz']","{'Jaliyyah Bello': 'https://pureportal.coventry.ac.uk/en/persons/jaliyyah-bello', 'Mohammad Khaleq Newaz': 'https://pureportal.coventry.ac.uk/en/persons/mohammad-khaleq-newaz'}","This study examines financial contagion effects in African stock markets during major crises over the period 2005 to 2020. We investigate contagion effects in individual stock markets and from a regional perspective using dynamic conditional correlations during the global financial crisis, European debt crisis, Brexit, and COVID-19. The empirical evidence confirms contagion effects in some individual markets. However, significant evidence of contagion is found only during the global financial crisis from the regional perspective. Our findings suggest that the regional impacts of crises differ due to the nature of those crises. We also find financial contagion increases in the country-level risk, market capitalization and export to GDP and decreases in corruption.",Jul 2022,"['Financial crisis', 'Contagion effect', 'African stock markets']"
book_23,book_23,"FinTech, financial inclusion and income inequality: A quantile regression approach",https://pureportal.coventry.ac.uk/en/publications/fintech-financial-inclusion-and-income-inequality-a-quantile-regr,"['Ayse Demir', ' V Pesque-Cela', ' Y Altunbas', ' V Murinde']",{},"Although theory suggests that financial market imperfections–mainly information asymmetries, market segmentation and transaction costs–prevent poor people from escaping poverty by limiting their access to formal financial services, new financial technologies (FinTech) are seen as key enablers of financial inclusion. Indeed, the UN 2030 Agenda for Sustainable Development (UN-2030-ASD) and the G20 High-Level Principles for Digital Financial Inclusion (G20-HLP-DFI) highlight the importance of harnessing the potential of FinTech to reduce financial exclusion and income inequality. This paper investigates the interrelationship between FinTech, financial inclusion and income inequality for a panel of 140 countries using the Global Findex waves of survey data for 2011, 2014 and 2017. We posit that FinTech affects inequality directly and indirectly through financial inclusion. We invoke quantile regression analysis to investigate whether such effects differ across countries with different levels of income inequality. We uncover new evidence that financial inclusion is a key channel through which FinTech reduces income inequality. We also find that while financial inclusion significantly reduces inequality at all quantiles of the inequality distribution, these effects are primarily associated with higher-income countries. Overall, our results support the aspirations of the UN-2030-ASD and G20-HLP-DFI. Highlights Harnessing the potential of FinTech to reduce financial exclusion and income inequality has been proposed by the UN and G20. We posit that FinTech affects income inequality directly and indirectly through financial inclusion. We invoke quantile regression analysis to investigate whether the effects of FinTech differ across countries with different levels of income inequality. We find that financial inclusion is a key channel through which FinTech reduces income inequality, at all quantile levels, primarily among higher-income countries.",2022,"['FinTech', 'financial inclusion', 'income inequality', 'quantile regression']"
